rank,age,player_name,gamertag,num_frst,num_scnd,num_thrd,num_top3,earnings,earnings_per_top3,log_earnings,is_outlier
1409,28,Atsushi Yano,SouLBoi,0,0,1,1,1707,1707,7.443078374348516,False
1410,21,André Grötz,Cloudy,5,2,0,7,1705,244,7.441906728051625,False
1411,20,Im Ji-han,Bonja,0,0,0,0,1698,0,7.4377951216719325,False
1412,20,Kim Min-seong,Cheong,0,0,0,0,1698,0,7.4377951216719325,False
1413,22,Guillermo Guinea,ag,2,1,0,3,1676,559,7.424761761823209,False
1414,25,,Aphex,1,1,0,2,1669,834,7.4205789054108005,False
1415,25,,Billzz,3,1,2,6,1669,278,7.4205789054108005,False
1416,24,Joan Tort Porcuna,NaoResh,1,0,1,2,1664,832,7.417580402414544,False
1417,24,Julián Francos Crego,HuliK,1,0,1,2,1664,832,7.417580402414544,False
1418,24,Owen,Oh-When,2,1,0,3,1656,552,7.4127640174265625,False
1419,25,,Schont,0,0,0,0,1645,0,7.406103381237015,False
1420,28,Jordan Stoneham,Jugger,1,1,2,4,1645,411,7.406103381237015,False
1421,25,,GunHavoK,0,1,0,1,1642,1642,7.404279118037268,False
1422,25,,Jaiilo,1,0,4,5,1630,326,7.396948602621014,False
1423,25,,DavE,0,3,0,3,1619,540,7.3901814282264295,False
1424,25,,Mopee,1,1,0,2,1619,810,7.3901814282264295,False
1425,25,,CroNxqq,1,2,0,3,1617,539,7.388946097618437,False
1426,20,Sung Min-jae,Roland,0,0,0,0,1609,0,7.383989457978509,False
1427,25,,Kanomtuay,2,0,0,2,1604,802,7.380879035564116,False
1428,25,,Mas,0,0,0,0,1600,0,7.3783837129967145,False
1429,25,,Austin,6,4,2,12,1598,133,7.377133712833954,False
1430,25,,FaTaLz,2,1,6,9,1598,178,7.377133712833954,False
1431,25,,StiZ,3,4,2,9,1596,177,7.3758821482150125,False
1432,21,Lee Dae-min,LeeDaeMin,0,0,0,0,1594,0,7.374629015218945,False
1433,25,,Player45,5,2,2,9,1591,177,7.3727463664043285,False
1434,25,,Niko2k,1,1,0,2,1585,792,7.368970402194793,False
1435,25,,Nos,2,1,6,9,1576,175,7.3632795869630385,False
1436,25,,Envyed,0,2,2,4,1574,394,7.362010551259734,False
1437,25,,Doggon,3,3,2,8,1573,197,7.3613754289773485,False
1438,25,,Teddis,2,1,3,6,1573,262,7.3613754289773485,False
1439,19,Kim Yeon-wo,Lev,0,0,0,0,1569,0,7.358830898342354,False
1440,23,Kim Hee-man,aDonis,0,0,0,0,1569,0,7.358830898342354,False
1441,25,,Ayan,0,6,1,7,1567,224,7.357556200910353,False
1442,25,,Cursedwings,0,1,3,4,1559,390,7.352441100243583,False
1443,31,Luca Lotti,Peak,3,0,1,4,1554,388,7.349230824613334,False
1444,25,,Hunter,3,0,1,4,1554,388,7.349230824613334,False
1445,25,,Jayv,2,1,5,8,1551,194,7.347299700743164,False
1446,24,Francisco Guillén,Royz,1,0,1,2,1550,775,7.346655163176539,False
1447,22,Marc Lagestee,Lags,0,0,0,0,1548,0,7.3453648404168685,False
1448,25,,VENP4I,3,1,0,4,1543,386,7.342131730584722,False
1449,23,,SkysKyskY,0,0,0,0,1542,0,7.341483852363161,False
1450,25,,Shoguitor,0,0,2,2,1536,768,7.337587743538596,False
1451,22,Ethan McDonald,Sepi,2,2,0,4,1525,381,7.330405211844402,False
1452,25,,aftr,0,0,0,0,1524,0,7.329749689041512,False
1453,25,,Jordy,0,0,1,1,1524,1524,7.329749689041512,False
1454,26,Alberto Montenegro,batfat,1,3,1,5,1517,303,7.325148957955575,False
1455,25,,Trevmak,4,1,2,7,1517,217,7.325148957955575,False
1456,25,,N1xz,4,1,1,6,1514,252,7.323170717943469,False
1457,23,Rafaela Miranda,Miranda,0,0,5,5,1512,302,7.321849713788356,False
1458,20,Moon Ho-jun,munu74,1,0,0,1,1507,1507,7.318539548567902,False
1459,28,Ryu Seung-hyeon,Roy Mikelate,0,1,3,4,1500,375,7.313886831633462,False
1460,25,,R3mbrandT,1,1,0,2,1500,750,7.313886831633462,False
1461,25,,Masher7,0,0,1,1,1500,1500,7.313886831633462,False
1462,29,Michael Michell Escobal Suarez,Mich4,1,1,0,2,1500,750,7.313886831633462,False
1463,25,,XetreV,1,1,2,4,1492,373,7.30854279753919,False
